,Dap,Dap,Dap,Dap,Dap,Dap,Dap,Dap,HC,HC,HC,HC,HC,HC,HC,HC,HT,HT,HT,HT,HT,HT,HT,HT,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Cumala blanca,132.0,51.93939393939394,6.020014424873763,46.0,48.0,50.0,55.0,78.0,132.0,17.053030303030305,2.2388464653159943,12.0,16.0,18.0,18.0,23.0,132.0,21.0,2.034061105314359,15.0,20.0,21.0,22.0,28.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,675410.5378787878,1342.4185215885036,673576.0,674072.75,675442.0,676681.75,678001.0,132.0,9631904.863636363,1402.6464886430601,9630634.0,9631093.75,9631469.5,9632012.25,9636594.0
Cumala caupuri,26.0,51.30769230769231,3.9066019072255695,46.0,49.0,50.0,53.75,60.0,26.0,17.615384615384617,2.1368560658485745,12.0,16.0,17.5,19.75,22.0,26.0,21.46153846153846,1.8161667154921484,18.0,20.0,21.0,23.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,674988.0384615385,1332.0617847763438,673611.0,673801.5,674517.5,675974.75,677470.0,26.0,9632103.576923076,1516.5332353252775,9630628.0,9631162.5,9631731.0,9632200.0,9636198.0
Cumala llorona,79.0,52.41772151898734,6.873597936170019,46.0,47.0,50.0,56.0,80.0,79.0,16.329113924050635,2.061375685707035,12.0,15.0,17.0,18.0,20.0,79.0,20.481012658227847,2.1234995275317248,15.0,19.0,20.0,22.0,29.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,675150.2278481013,1515.2308866068436,673577.0,673822.0,674345.0,676791.0,678041.0,79.0,9632367.126582278,1547.267163769462,9630614.0,9631277.0,9631865.0,9633376.0,9636563.0
Huayruro,4.0,59.0,9.201449161228174,50.0,52.25,58.0,64.75,70.0,4.0,16.75,1.5,15.0,15.75,17.0,18.0,18.0,4.0,20.25,1.5,19.0,19.0,20.0,21.25,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,674838.25,702.4558705000621,673977.0,674424.75,674921.0,675334.5,675534.0,4.0,9631380.0,801.2702415539966,9630675.0,9630693.75,9631355.5,9632041.75,9632134.0
Huimba,2.0,73.0,8.48528137423857,67.0,70.0,73.0,76.0,79.0,2.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,2.0,24.5,2.1213203435596424,23.0,23.75,24.5,25.25,26.0,2.0,2.2915,3.2406703781779473,0.0,1.14575,2.2915,3.43725,4.583,2.0,673644.0,107.48023074035522,673568.0,673606.0,673644.0,673682.0,673720.0,2.0,9631874.5,239.7091988222396,9631705.0,9631789.75,9631874.5,9631959.25,9632044.0
Lupuna,3.0,111.33333333333333,11.846237095944574,104.0,104.5,105.0,115.0,125.0,3.0,21.0,1.7320508075688772,20.0,20.0,20.0,21.5,23.0,3.0,24.666666666666668,1.5275252316519468,23.0,24.0,25.0,25.5,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,676162.6666666666,730.1618542031166,675365.0,675845.0,676325.0,676561.5,676798.0,3.0,9631706.0,411.3733097807878,9631358.0,9631479.0,9631600.0,9631880.0,9632160.0
Machimango,28.0,57.142857142857146,6.835172032917439,46.0,52.0,57.5,62.0,70.0,28.0,17.785714285714285,1.9693417373089106,13.0,16.0,18.0,19.0,22.0,28.0,21.428571428571427,2.5007935248573108,16.0,20.0,21.0,23.0,27.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,675605.4642857143,1207.4025528394309,673605.0,674734.25,675548.0,676838.25,677733.0,28.0,9631335.57142857,403.04695329557643,9630637.0,9631031.25,9631330.0,9631690.0,9631995.0
Machimango blanco,10.0,53.1,4.280446497997869,47.0,51.25,52.0,55.25,62.0,10.0,15.3,1.0593499054713802,14.0,15.0,15.0,15.75,17.0,10.0,19.3,0.8232726023485646,18.0,19.0,19.0,19.75,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,673976.6,301.59840848386455,673572.0,673714.75,673999.5,674228.75,674373.0,10.0,9634383.4,1248.7358229647916,9632970.0,9633285.25,9634458.0,9635067.25,9636395.0
Machimango negro,5.0,55.8,6.572670690061993,48.0,50.0,57.0,62.0,62.0,5.0,16.0,1.224744871391589,14.0,16.0,16.0,17.0,17.0,5.0,19.4,1.140175425099138,18.0,19.0,19.0,20.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,675195.2,1681.3791065669873,673772.0,673879.0,674310.0,676693.0,677322.0,5.0,9632635.6,2134.7326062062198,9630613.0,9630871.0,9631860.0,9634838.0,9634996.0
Mari mari,39.0,60.87179487179487,9.6304874642419,44.0,52.5,62.0,67.0,82.0,39.0,17.76923076923077,2.5179517413286376,10.0,17.0,18.0,19.0,24.0,39.0,21.846153846153847,2.2541010757991815,18.0,20.0,21.0,23.5,28.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,675321.8205128205,1488.474048565295,673566.0,673863.5,674936.0,676614.5,678062.0,39.0,9632112.615384616,1141.758376489264,9630657.0,9631406.0,9631708.0,9632547.0,9635131.0
