N°,PC,Bloq,Faja,N° de árbol,Especie (Exp inicial),Especie Reformulada,Código,Diametro (cm),Alt Cial (m),Volumen (m3),Coord  Este,Coord Norte,Condición 1,Fecha tala-Real,N°OP Parte,Código de Árbol,R,Especie Tala,D1 (cm),D2 (cm),L (m),Vol. (m3) Talado,Condición de Tala,Observación,FECHA-ARRASTRE,Obervacion,Fecha Trozado,N° Parte,CORRELATIVO,Codigo Patio,Especie Trozado,D1 (cm),D2 (cm),L (m),Vol. (m3) Trozado,Condición de Tala,Observación,n° de arboles
36,3,1,2,3,Copal,Copal,1-2-3,81,14,4.689,647316,9507094,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
37,3,1,2,4,Quina quina,Quina quina,1-2-4,100,15,7.658,647316,9507247,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
38,3,1,2,8,Almendro,Almendro,1-2-8,68,14,3.305,647449,9507289,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
39,3,1,2,9,Machimango,Machimango,1-2-9,70,12,3.002,647462,9507407,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
40,3,1,2,10,Ana caspi,Ana caspi,1-2-10,58,14,2.404,647346,9507452,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
41,3,1,2,11,Cumala,Cumala,1-2-11,70,16,4.002,647328,9507498,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
42,3,1,2,12,Remo caspi,Remo caspi,1-2-12,61,15,2.849,647311,9507532,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
43,3,1,2,13,Pashaco,Pashaco,1-2-13,78,12,3.727,647337,9507569,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
44,3,1,2,15,Quina quina,Quina quina,1-2-15,98,18,8.825,647333,9507675,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
45,3,1,2,19,Quillosisa,Quillosisa,1-2-19,88,13,5.139,647309,9507814,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
46,3,1,2,20,Pashaco,Pashaco,1-2-20,83,13,4.572,647315,9507867,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
47,3,1,2,21,Mari mari,Mari mari,1-2-21,68,14,3.305,647309,9507874,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
48,3,1,2,22,Quillosisa,Quillosisa,1-2-22,80,14,4.574,647337,9507879,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
49,3,1,2,23,Quillosisa,Quillosisa,1-2-23,68,14,3.305,647325,9507995,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
50,3,1,2,24,Copal,Copal,1-2-24,71,10,2.573,647336,9507994,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
51,3,1,2,25,Pashaco,Pashaco,1-2-25,85,16,5.901,647332,9508029,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
52,3,1,2,26,Quillosisa,Quillosisa,1-2-26,67,13,2.979,647347,9508068,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
53,3,1,2,27,Pashaco,Pashaco,1-2-27,64,8,1.673,647342,9508188,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
54,3,1,2,28,Cumala,Cumala,1-2-28,62,15,2.944,647317,9508246,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
55,3,1,3,1,Quillosisa,Quillosisa,1-3-1,86,14,5.286,647400,9507010,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
56,3,1,3,2,Quillosisa,Quillosisa,1-3-2,83,12,4.220,647401,9507012,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
57,3,1,3,3,Cumala,Cumala,1-3-3,81,15,5.024,647352,9507042,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
58,3,1,3,4,Azucar huayo,Azucar huayo,1-3-4,65,16,3.451,647391,9507222,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
59,3,1,3,5,Machimango,Machimango,1-3-5,68,12,2.833,647392,9507246,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
60,3,1,3,6,Huayruro,Huayruro,1-3-6,55,15,2.316,647391,9507252,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
61,3,1,3,7,Quina quina,Quina quina,1-3-7,83,18,6.330,647395,9507264,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
62,3,1,3,8,Cumala,Cumala,1-3-8,68,10,2.361,647372,9507401,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
63,3,1,3,9,Mari mari,Mari mari,1-3-9,85,8,2.951,647383,9507474,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
64,3,1,3,13,Quillosisa,Quillosisa,1-3-13,98,18,8.825,647375,9507654,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
65,3,1,3,15,Quina quina,Quina quina,1-3-15,110,12,7.413,647377,9507821,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
66,3,1,3,16,Mari mari,Mari mari,1-3-16,57,16,2.654,647392,9507855,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
67,3,1,3,17,Quina quina,Quina quina,1-3-17,69,15,3.646,647391,9507889,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
68,3,1,3,21,Pashaco,Pashaco,1-3-21,65,16,3.451,647391,9508034,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
69,3,1,3,22,Quillosisa,Quillosisa,1-3-22,62,16,3.140,647365,9508057,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
70,3,1,3,24,Quillosisa,Quillosisa,1-3-24,74,16,4.473,647378,9508089,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
71,3,1,3,27,Panguana,Panguana,1-3-27,64,16,3.346,647396,9508165,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
72,3,1,3,28,Marupa,Marupa,1-3-28,55,13,2.008,647394,9508183,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
73,3,1,3,30,Quillosisa,Quillosisa,1-3-30,76,13,3.833,647364,9508215,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
74,3,1,4,1,Pashaco,Pashaco,1-4-1,72,16,4.234,647423,9508243,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
75,3,1,4,2,Aguanillo,Aguanillo,1-4-2,59,18,3.199,647435,9508232,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
76,3,1,4,4,Quillosisa,Quillosisa,1-4-4,79,19,6.054,647402,9508216,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
77,3,1,4,5,Remo caspi,Remo caspi,1-4-5,55,16,2.471,647400,9508202,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
78,3,1,4,6,Quina quina,Quina quina,1-4-6,66,19,4.225,647432,9508190,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
79,3,1,4,7,Quillosisa,Quillosisa,1-4-7,69,13,3.160,647423,9508132,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
80,3,1,4,10,Almendro,Almendro,1-4-10,67,13,2.979,647414,9508057,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
81,3,1,4,12,Quina quina,Quina quina,1-4-12,67,18,4.125,647435,9507995,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
82,3,1,4,13,Mari mari,Mari mari,1-4-13,61,15,2.849,647417,9507909,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
83,3,1,4,14,Quillosisa,Quillosisa,1-4-14,66,13,2.891,647422,9507908,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
84,3,1,4,16,Quillosisa,Quillosisa,1-4-16,73,13,3.537,647441,9507886,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
85,3,1,4,20,Quillosisa,Quillosisa,1-4-20,62,17,3.336,647418,9507803,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
86,3,1,4,21,Cumala,Cumala,1-4-21,92,16,6.914,647438,9507765,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
87,3,1,4,22,Quillosisa,Quillosisa,1-4-22,64,18,3.764,647446,9507745,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
88,3,1,4,24,Cumala,Cumala,1-4-24,63,21,4.255,647400,9507689,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
89,3,1,4,27,Marupa,Marupa,1-4-27,60,18,3.308,647421,9507642,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
90,3,1,4,31,Machimango,Machimango,1-4-31,71,14,3.603,647423,9507499,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
91,3,1,4,35,Quillosisa,Quillosisa,1-4-35,65,18,3.882,647434,9507270,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
92,3,1,4,37,Moena,Moena,1-4-37,54,15,2.233,647447,9507275,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
93,3,1,4,38,Quillosisa,Quillosisa,1-4-38,61,14,2.659,647408,9507183,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
94,3,1,4,39,Ana caspi,Ana caspi,1-4-39,75,14,4.020,647430,9507128,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
95,3,1,4,40,Huayruro,Huayruro,1-4-40,55,18,2.780,647420,9507103,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
96,3,1,4,41,Aguanillo,Aguanillo,1-4-41,51,17,2.257,647428,9507101,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
97,3,1,5,1,Caimitillo,Caimitillo,1-5-1,75,16,4.595,647482,9508251,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
98,3,1,5,2,Quillosisa,Quillosisa,1-5-2,68,17,4.013,647480,9508251,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
99,3,1,5,3,Azucar huayo,Azucar huayo,1-5-3,62,16,3.140,647489,9508252,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
100,3,1,5,4,Cumala,Cumala,1-5-4,100,16,8.168,647466,9508200,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
