N°,PC,Bloq,Faja,N° de árbol,Especie (Exp inicial),Especie Reformulada,Código,Diametro (cm),Alt Cial (m),Volumen (m3),Coord  Este,Coord Norte,Condición 1,Fecha tala-Real,N°OP Parte,Código de Árbol,R,Especie Tala,D1 (cm),D2 (cm),L (m),Vol. (m3) Talado,Condición de Tala,Observación,FECHA-ARRASTRE,Obervacion,Fecha Trozado,N° Parte,CORRELATIVO,Codigo Patio,Especie Trozado,D1 (cm),D2 (cm),L (m),Vol. (m3) Trozado,Condición de Tala,Observación,n° de arboles
1546,3,1,55,21,Machimango,Machimango,1-55-21,56,17,2.722,649990,9508229,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1547,3,1,56,1,Cachimbo,Cachimbo,1-56-1,60,14,2.573,650026,9507008,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1548,3,1,56,3,Cumala,Cumala,1-56-3,60,11,2.022,650014,9507198,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1549,3,1,56,4,Tornillo,Tornillo,1-56-4,98,17,8.335,650059,9507225,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1550,3,1,56,5,Añuje rumo,Añuje rumo,1-56-5,66,12,2.669,650015,9507276,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1551,3,1,56,6,Huayruro,Huayruro,1-56-6,80,14,4.574,650029,9507294,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1552,3,1,56,7,Cachimbo,Cachimbo,1-56-7,58,11,1.889,650012,9507356,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1553,3,1,56,8,Machimango,Machimango,1-56-8,81,15,5.024,650018,9507419,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1554,3,1,56,9,Pashaco,Pashaco,1-56-9,60,16,2.941,650015,9507534,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1555,3,1,56,10,Cumala,Cumala,1-56-10,61,10,1.900,650019,9507548,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1556,3,1,56,11,Cumala,Cumala,1-56-11,62,11,2.159,650020,9507597,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1557,3,1,56,13,Añuje rumo,Añuje rumo,1-56-13,69,13,3.160,650042,9507643,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1558,3,1,56,14,Mari mari,Mari mari,1-56-14,64,14,2.927,650025,9507948,Aprovechable,9/16/2023,9,1-56-14,1,mari mari,0.70,0.50,14.50,4.100,Talado aprovechable,,9/22/2023,carretera,9/30/2023,4,118,1-56-14-A1,Mari mari,0.61,0.52,8.38,2.101,,,1
1558,3,1,56,14,Mari mari,Mari mari,1-56-14,,,,,,,,,,,,,,,,,,,,9/30/2023,4,119,1-56-14-A2,Mari mari,0.52,0.47,6.12,1.178,,,1
1559,3,1,56,15,Pashaco,Pashaco,1-56-15,95,12,5.529,650030,9507952,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1560,3,1,56,16,Cachimbo,Cachimbo,1-56-16,74,15,4.193,650034,9507953,Aprovechable,9/16/2023,9,1-56-16,1,cachimbo,0.75,0.55,17.10,5.674,Talado aprovechable,,9/22/2023,carretera,9/30/2023,4,120,1-56-16-A1,Cachimbo,0.67,0.55,8.70,2.543,,,1
1560,3,1,56,16,Cachimbo,Cachimbo,1-56-16,,,,,,,,,,,,,,,,,,,,9/30/2023,5,121,1-56-16-A2,Cachimbo,0.55,0.51,8.96,1.977,,,1
1561,3,1,56,17,Mari mari,Mari mari,1-56-17,85,12,4.426,650038,9507998,Aprovechable,9/16/2023,10,1-56-17,1,mari mari,0.75,0.65,16.90,6.504,Talado aprovechable,,9/22/2023,carretera,9/30/2023,4,105,1-56-17-A1,Mari mari,0.70,0.60,9.38,3.113,,,1
1561,3,1,56,17,Mari mari,Mari mari,1-56-17,,,,,,,,,,,,,,,,,,,,9/30/2023,4,106,1-56-17-A2,Mari mari,0.60,0.56,7.53,1.989,,,1
1562,3,1,56,18,Panguana,Panguana,1-56-18,100,16,8.168,650027,9508020,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1563,3,1,56,19,Pashaco,Pashaco,1-56-19,84,12,4.323,650043,9508029,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1564,3,1,56,20,Añuje rumo,Añuje rumo,1-56-20,60,11,2.022,650016,9508021,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1565,3,1,56,21,Marupa,Marupa,1-56-21,80,16,5.228,650015,9508071,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1566,3,1,56,22,Panguana,Panguana,1-56-22,110,15,9.266,650038,9508121,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1567,3,1,57,1,Cachimbo,Cachimbo,1-57-1,90,18,7.443,650066,9507068,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1568,3,1,57,2,Machimango,Machimango,1-57-2,60,14,2.573,650073,9507146,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1569,3,1,57,3,Loro caspi,Loro caspi,1-57-3,65,14,3.020,650063,9507153,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1570,3,1,57,5,Quillosisa,Quillosisa,1-57-5,68,14,3.305,650082,9507181,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1571,3,1,57,6,Cachimbo,Cachimbo,1-57-6,64,12,2.509,650094,9507177,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1572,3,1,57,7,Tornillo,Tornillo,1-57-7,100,15,7.658,650089,9507230,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1573,3,1,57,9,Cachimbo,Cachimbo,1-57-9,60,12,2.205,650089,9507250,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1574,3,1,57,10,Cachimbo,Cachimbo,1-57-10,80,14,4.574,650086,9507259,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1575,3,1,57,11,Machimango,Machimango,1-57-11,70,14,3.502,650075,9507322,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1576,3,1,57,12,Cumala,Cumala,1-57-12,60,12,2.205,650071,9507344,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1577,3,1,57,13,Quillosisa,Quillosisa,1-57-13,80,16,5.228,650068,9507360,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1578,3,1,57,15,Pashaco,Pashaco,1-57-15,68,10,2.361,650063,9507376,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1579,3,1,57,16,Huayruro,Huayruro,1-57-16,70,10,2.501,650096,9507466,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1580,3,1,57,17,Machimango,Machimango,1-57-17,70,10,2.501,650106,9507476,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1581,3,1,57,19,Pashaco,Pashaco,1-57-19,140,18,18.011,650077,9507713,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1582,3,1,57,21,Pashaco,Pashaco,1-57-21,95,15,6.911,650108,9507770,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1583,3,1,57,22,Panguana,Panguana,1-57-22,78,14,4.348,650074,9507975,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1584,3,1,57,23,Cachimbo,Cachimbo,1-57-23,70,15,3.752,650065,9507989,Aprovechable,9/16/2023,9,1-57-23,1,cachimbo,0.75,0.64,20.50,7.777,Talado aprovechable,,9/22/2023,carretera,,,,,,,,,0.000,,,1
1585,3,1,57,25,Cachimbo,Cachimbo,1-57-25,90,14,5.789,650064,9508019,Aprovechable,9/16/2023,9,1-57-25,2,cachimbo,0.97,0.76,17.00,9.990,Talado aprovechable,,9/22/2023,carretera,9/30/2023,3,81,1-57-25-A,Cachimbo,0.86,0.84,7.40,4.199,,,1
1585,3,1,57,25,Cachimbo,Cachimbo,1-57-25,,,,,,,,,,,,,,,,,,,,9/30/2023,3,82,1-57-25-B,Cachimbo,0.84,0.77,9.57,4.871,,,1
1586,3,1,57,26,Panguana,Panguana,1-57-26,90,15,6.203,650091,9508073,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1587,3,1,57,27,Cumala,Cumala,1-57-27,68,13,3.069,650092,9508118,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1588,3,1,57,28,Cachimbo,Cachimbo,1-57-28,70,14,3.502,650093,9508119,Aprovechable,9/16/2023,10,1-57-28,1,cachimbo,0.71,0.62,16.40,5.696,Talado aprovechable,,,,,,,,,,,,0.000,,,1
1589,3,1,57,29,Copal,Copal,1-57-29,100,14,7.147,650071,9508201,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1590,3,1,58,1,Moena,Moena,1-58-1,82,15,5.149,650132,9508212,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1591,3,1,58,2,Panguana,Panguana,1-58-2,63,17,3.445,650130,9508201,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1592,3,1,58,3,Cumaceba,Cumaceba,1-58-3,56,17,2.722,650106,9508168,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1593,3,1,58,4,Pashaco,Pashaco,1-58-4,67,14,3.208,650140,9508094,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1594,3,1,58,5,Palisangre,Palisangre,1-58-5,53,18,2.581,650150,9508104,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1595,3,1,58,7,Palisangre,Palisangre,1-58-7,54,15,2.233,650102,9507993,Aprovechable,9/16/2023,9,1-58-7,1,Palisangre,0.70,0.45,15.10,3.921,Talado aprovechable,,9/22/2023,carretera,9/30/2023,5,126,1-58-7-A1,Palisangre,0.64,0.54,8.38,2.291,,,1
1595,3,1,58,7,Palisangre,Palisangre,1-58-7,,,,,,,,,,,,,,,,,,,,9/30/2023,5,127,1-58-7-A2,Palisangre,0.54,0.47,6.80,1.362,,,1
1596,3,1,58,9,Cachimbo,Cachimbo,1-58-9,77,19,5.751,650142,9507637,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1597,3,1,58,10,Palisangre,Palisangre,1-58-10,51,15,1.992,650134,9507624,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1598,3,1,58,11,Tangarana,Tangarana,1-58-11,57,14,2.322,650132,9507534,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1599,3,1,58,12,Cumala,Cumala,1-58-12,64,16,3.346,650141,9507413,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1600,3,1,58,13,Ana caspi,Ana caspi,1-58-13,70,13,3.252,650149,9507425,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1601,3,1,59,1,Pashaco,Pashaco,1-59-1,100,12,6.126,650192,9508151,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1602,3,1,59,2,Cumala,Cumala,1-59-2,55,11,1.699,650179,9508115,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1603,3,1,59,3,Tangarana,Tangarana,1-59-3,56,14,2.241,650176,9508098,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1604,3,1,59,4,Panguana,Panguana,1-59-4,102,13,6.905,650177,9508051,Aprovechable,10/6/2023,44,1-59-4,1,panguana,,,,0.000,,Hueco Parado,,,,,,,,,,,0.000,,,1
1605,3,1,59,5,Requia,Requia,1-59-5,66,9,2.001,650194,9507829,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1606,3,1,59,6,Machimango,Machimango,1-59-6,80,9,2.941,650185,9507835,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1607,3,1,59,7,Cumala,Cumala,1-59-7,61,9,1.710,650178,9507832,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1608,3,1,59,8,Cumala,Cumala,1-59-8,69,18,4.375,650157,9507823,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1609,3,1,59,9,Pashaco,Pashaco,1-59-9,84,12,4.323,650159,9507810,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1610,3,1,59,10,Pashaco,Pashaco,1-59-10,68,13,3.069,650181,9507765,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1611,3,1,59,12,Pashaco,Pashaco,1-59-12,77,14,4.238,650181,9507535,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1612,3,1,59,13,Caimitillo,Caimitillo,1-59-13,82,14,4.806,650182,9507459,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1613,3,1,59,14,Cachimbo,Cachimbo,1-59-14,70,13,3.252,650167,9507440,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1614,3,1,59,15,Ana caspi,Ana caspi,1-59-15,78,13,4.038,650168,9507300,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1615,3,1,59,16,Quillosisa,Quillosisa,1-59-16,80,17,5.554,650204,9507168,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1616,3,1,59,17,Quillosisa,Quillosisa,1-59-17,88,16,6.325,650204,9507142,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1617,3,1,59,18,Quillosisa,Quillosisa,1-59-18,62,15,2.944,650179,9507140,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1618,3,1,59,19,Quillosisa,Quillosisa,1-59-19,68,17,4.013,650177,9507140,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1619,3,1,59,20,Quillosisa,Quillosisa,1-59-20,70,15,3.752,650178,9507127,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1620,3,1,59,21,Machimango,Machimango,1-59-21,71,14,3.603,650173,9507076,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1621,3,1,59,22,Requia,Requia,1-59-22,58,11,1.889,650162,9507080,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1622,3,1,59,23,Tangarana,Tangarana,1-59-23,83,14,4.924,650161,9507083,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1623,3,1,59,24,Machimango,Machimango,1-59-24,85,15,5.533,650163,9507071,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1624,3,1,59,25,Quillosisa,Quillosisa,1-59-25,94,14,6.315,650161,9507015,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1625,3,1,60,1,Moena,Moena,1-60-1,60,14,2.573,650225,9508187,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1626,3,1,60,2,Yacushapana,Yacushapana,1-60-2,95,14,6.450,650231,9508181,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1627,3,1,60,3,Machimango,Machimango,1-60-3,60,12,2.205,650228,9508120,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1628,3,1,60,4,Moena,Moena,1-60-4,58,10,1.717,650236,9508094,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1629,3,1,60,5,Panguana,Panguana,1-60-5,80,16,5.228,650222,9508016,Aprovechable,10/6/2023,44,1-60-5,1,panguana,1.00,0.75,16.20,9.741,Talado aprovechable,,10/7/2023,carretera,10/7/2023,8,212,1-60-5-A,Panguana,0.96,0.81,8.18,5.032,,,1
1629,3,1,60,5,Panguana,Panguana,1-60-5,,,,,,,,,,,,,,,,,,,,10/7/2023,8,213,1-60-5-B,Panguana,0.81,0.72,8.20,3.769,,,1
1630,3,1,60,6,Cumala,Cumala,1-60-6,50,12,1.532,650229,9507969,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1631,3,1,60,7,Pashaco,Pashaco,1-60-7,75,14,4.020,650240,9507856,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1632,3,1,60,8,Marupa,Marupa,1-60-8,55,12,1.853,650234,9507807,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1633,3,1,60,9,Cumala,Cumala,1-60-9,60,14,2.573,650237,9507759,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1634,3,1,60,10,Pashaco,Pashaco,1-60-10,80,14,4.574,650239,9507757,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1635,3,1,60,11,Panguana,Panguana,1-60-11,110,14,8.648,650198,9507712,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1636,3,1,60,12,Añuje rumo,Añuje rumo,1-60-12,58,14,2.404,650225,9507517,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1637,3,1,60,13,Cumala,Cumala,1-60-13,73,12,3.265,650232,9507497,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1638,3,1,60,14,Pashaco,Pashaco,1-60-14,68,12,2.833,650246,9507492,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1639,3,1,60,15,Quillosisa,Quillosisa,1-60-15,70,14,3.502,650215,9507412,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1640,3,1,60,16,Almendro,Almendro,1-60-16,93,9,3.974,650224,9507392,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1641,3,1,60,18,Cumala,Cumala,1-60-18,80,16,5.228,650259,9507322,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1642,3,1,60,20,Machimango,Machimango,1-60-20,50,10,1.276,650221,9507236,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1643,3,1,60,21,Pashaco,Pashaco,1-60-21,64,10,2.091,650220,9507230,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1644,3,1,60,22,Cachimbo,Cachimbo,1-60-22,80,14,4.574,650221,9507046,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1645,3,1,60,23,Quillobordon,Quillobordon,1-60-23,75,10,2.872,650195,9507042,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1646,3,1,61,1,Cachimbo,Cachimbo,1-61-1,79,21,6.691,650287,9507001,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1647,3,1,61,3,Panguana,Panguana,1-61-3,63,19,3.850,650282,9507077,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1648,3,1,61,6,Quillosisa,Quillosisa,1-61-6,58,15,2.576,650295,9507117,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1649,3,1,61,8,Machimango,Machimango,1-61-8,63,19,3.850,650298,9507136,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1650,3,1,61,9,Panguana,Panguana,1-61-9,64,18,3.764,650277,9507135,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1651,3,1,61,10,Quillobordon,Quillobordon,1-61-10,69,19,4.618,650274,9507163,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1652,3,1,61,11,Cumaceba,Cumaceba,1-61-11,56,13,2.081,650272,9507305,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1653,3,1,61,12,Quillosisa,Quillosisa,1-61-12,63,17,3.445,650304,9507492,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1654,3,1,61,13,Tangarana,Tangarana,1-61-13,74,15,4.193,650304,9507506,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1655,3,1,61,14,Cachimbo,Cachimbo,1-61-14,56,17,2.722,650286,9507499,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1656,3,1,61,15,Quillosisa,Quillosisa,1-61-15,69,14,3.403,650262,9507621,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1657,3,1,61,16,Cumala,Cumala,1-61-16,55,17,2.625,650279,9507648,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1658,3,1,61,17,Tornillo,Tornillo,1-61-17,61,15,2.849,650261,9507661,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1659,3,1,61,18,Cumala,Cumala,1-61-18,64,17,3.555,650273,9507672,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1660,3,1,61,19,Cumala,Cumala,1-61-19,62,18,3.532,650277,9507692,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1661,3,1,61,20,Cachimbo,Cachimbo,1-61-20,69,14,3.403,650271,9507700,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1662,3,1,61,21,Cachimbo,Cachimbo,1-61-21,84,18,6.484,650275,9507763,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1663,3,1,61,22,Pashaco,Pashaco,1-61-22,59,15,2.666,650305,9507960,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1664,3,1,61,23,Pashaco,Pashaco,1-61-23,63,14,2.837,650303,9507963,Aprovechable,9/19/2023,12,1-61-23,1,cachimbo,0.67,0.47,20.52,5.236,Talado aprovechable,,,,9/30/2023,4,115,1-61-23-A1,Cachimbo,0.67,0.62,7.73,2.526,,,1
1664,3,1,61,23,Pashaco,Pashaco,1-61-23,,,,,,,,,,,,,,,,,,,,9/30/2023,4,116,1-61-23-A2,Cachimbo,0.62,0.59,6.87,1.975,,,1
1664,3,1,61,23,Pashaco,Pashaco,1-61-23,,,,,,,,,,,,,,,,,,,,9/30/2023,4,117,1-61-23-A3,Cachimbo,0.59,0.47,5.92,1.306,,,1
1665,3,1,61,24,Huayruro,Huayruro,1-61-24,68,16,3.777,650292,9507962,Aprovechable,9/19/2023,12,1-61-24,1,huayruro,0.95,0.80,10.80,6.494,Talado aprovechable,Talado antiguo,9/21/2023,carretera,9/30/2023,5,124,1-61-24-A1,Huayruro,0.86,0.79,5.82,3.111,,,1
1665,3,1,61,24,Huayruro,Huayruro,1-61-24,,,,,,,,,,,,,,,,,,,,9/30/2023,5,125,1-61-24-A2,Huayruro,0.79,0.72,5.02,2.247,,,1
1666,3,1,61,26,Cachimbo,Cachimbo,1-61-26,73,16,4.353,650275,9508105,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1667,3,1,61,27,Machimango,Machimango,1-61-27,64,19,3.973,650254,9508128,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1668,3,1,62,1,Tangarana,Tangarana,1-62-1,70,15,3.752,650323,9507040,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1669,3,1,62,2,Quillobordon,Quillobordon,1-62-2,71,14.5,3.732,650320,9507070,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1670,3,1,62,3,Huayruro,Huayruro,1-62-3,64,16,3.346,650321,9507097,Aprovechable,10/20/2023,64,1-62-3,1,huayruro,0.60,0.51,14.20,3.435,Talado aprovechable,,,,10/24/2023,18,517,1-62-3-A,Huayruro,0.62,0.55,7.42,1.994,,,1
1670,3,1,62,3,Huayruro,Huayruro,1-62-3,,,,,,,,,,,,,,,,,,,,10/24/2023,18,518,1-62-3-B,Huayruro,0.55,0.54,6.92,1.614,,,1
1671,3,1,62,4,Quillobordon,Quillobordon,1-62-4,70,15,3.752,650316,9507116,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1672,3,1,62,5,Pashaco,Pashaco,1-62-5,78,14,4.348,650327,9507197,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1673,3,1,62,6,Machimango,Machimango,1-62-6,60,10,1.838,650352,9507311,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1674,3,1,62,7,Caimitillo,Caimitillo,1-62-7,88,9,3.558,650353,9507337,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1675,3,1,62,9,Machimango,Machimango,1-62-9,75,14,4.020,650332,9507336,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1676,3,1,62,10,Pashaco,Pashaco,1-62-10,72,14,3.705,650320,9507447,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1677,3,1,62,11,Cachimbo,Cachimbo,1-62-11,74,11,3.075,650344,9507494,Aprovechable,9/14/2023,3,1-62-11,1,cachimbo,0.81,0.60,12.70,4.958,Talado aprovechable,,,,,,,,,,,,0.000,,,1
1678,3,1,62,12,Cumala,Cumala,1-62-12,62,14,2.747,650320,9507617,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1679,3,1,62,14,Cachimbo,Cachimbo,1-62-14,94,16,7.217,650319,9507639,Aprovechable,9/13/2023,2,1-62-14,1,cachimbo,1.00,0.73,12.50,7.346,Talado aprovechable,,9/22/2023,carretera,9/30/2023,5,143,1-62-14-A,Cachimbo,0.90,0.70,8.60,4.323,,,1
1680,3,1,62,15,Tangarana,Tangarana,1-62-15,59,12,2.133,650318,9507652,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
1681,3,1,62,16,Cachimbo,Cachimbo,1-62-16,68,16,3.777,650321,9507661,Aprovechable,9/13/2023,2,1-62-16,1,cachimbo,0.65,0.59,16.90,5.102,Talado aprovechable,,9/22/2023,carretera,9/30/2023,5,140,1-62-16-A1,Cachimbo,0.56,0.54,8.40,1.996,,,1
1681,3,1,62,16,Cachimbo,Cachimbo,1-62-16,,,,,,,,,,,,,,,,,,,,9/30/2023,5,141,1-62-16-A2,Cachimbo,0.54,0.48,8.10,1.655,,,1
1682,3,1,62,18,Aguanillo,Aguanillo,1-62-18,75,15,4.307,650348,9507752,Aprovechable,10/1/2023,29,1-62-18,1,cumala,0.72,0.45,18.80,5.053,Talado aprovechable,,,,,,,,,,,,0.000,,,1
1683,3,1,62,19,Cumala,Cumala,1-62-19,68,20,4.721,650328,9507833,Aprovechable,10/1/2023,29,1-62-19,1,cumala,0.75,0.64,7.53,2.857,Talado aprovechable,,,,10/12/2023,3,88,1-62-19-A,Cachimbo,0.75,0.64,7.53,2.857,,,1
1684,3,1,62,20,Cumala,Cumala,1-62-20,69,10,2.431,650334,9508146,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
