N°,PC,Nro Arbol,Faja,Especie,Dap ,HC,HT,CF,VOL M3,ESTE,NORTE,Condicion,Obs,COD_cond,COD_sp1,COD_sp2,COD_GPS
89,1,89,1,Cumala llorona,47,16,22,2,1.804,675813,9631763,Aprovechable,,,Cuma,ll,Cuma ll_1/89
90,1,90,1,Andiroba,55,10,15,1,1.544,675786,9631789,Aprovechable,,,Andi,,Andi_1/90
91,1,91,1,Anuje rumo,60,14,20,1,2.573,675774,9631787,Aprovechable,,,Anuj,ru,Anuj ru_1/91
92,1,92,1,Andiroba,54,16,20,1,0,675760,9631784,Semillero,,S,Andi,,S_Andi_1/92
93,1,93,1,Andiroba,42,12,16,1,0,675793,9631852,Semillero,,S,Andi,,S_Andi_1/93
94,1,94,1,Yacushapana,87,16,22,1,6.182,675795,9631856,Aprovechable,,,Yacu,,Yacu_1/94
95,1,95,1,Caimitillo,66,15,21,1,3.336,675770,9631881,Aprovechable,,,Caim,,Caim_1/95
96,1,96,1,Anuje rumo,65,10,16,1,2.157,675812,9631970,Aprovechable,,,Anuj,ru,Anuj ru_1/96
97,1,97,1,Copal,50,11,18,1,0,675811,9631979,Semillero,,S,Copa,,S_Copa_1/97
98,1,98,1,Cumala llorona,60,15,20,1,2.757,675805,9631987,Aprovechable,,,Cuma,ll,Cuma ll_1/98
99,1,99,1,Cumala llorona,60,16,20,1,2.941,675746,9631990,Aprovechable,,,Cuma,ll,Cuma ll_1/99
100,1,100,1,Marupa,48,15,21,1,1.764,675739,9631988,Aprovechable,,,Maru,,Maru_1/100
101,1,101,1,Anuje rumo,52,15,21,1,0,675729,9631992,Semillero,,S,Anuj,ru,S_Anuj ru_1/101
102,1,102,1,Sacha casho,56,12,20,1,1.921,675750,9632092,Aprovechable,,,Sach,ca,Sach ca_1/102
103,1,103,1,Cumala llorona,70,15,20,1,3.752,675753,9632019,Aprovechable,,,Cuma,ll,Cuma ll_1/103
104,1,104,1,Cumala blanca,74,16,20,1,4.473,675751,9632060,Aprovechable,,,Cuma,bl,Cuma bl_1/104
105,1,105,1,Cumala blanca,58,17,21,1,2.92,675736,9632047,Aprovechable,,,Cuma,bl,Cuma bl_1/105
106,1,106,1,Mari mari,50,10,16,2,1.276,675822,9632092,Aprovechable,,,Mari,ma,Mari ma_1/106
107,1,107,1,Palisangre,65,13,19,1,0,675822,9632107,Semillero,,S,Pali,,S_Pali_1/107
108,1,108,1,Pashaco,80,13,20,1,4.247,675810,9632137,Aprovechable,,,Pash,,Pash_1/108
109,1,109,1,Cumala blanca,50,17,21,1,0,675788,9632143,Semillero,,S,Cuma,bl,S_Cuma bl_1/109
110,1,110,1,Cumala blanca,51,16,22,1,2.125,675779,9632139,Aprovechable,,,Cuma,bl,Cuma bl_1/110
111,1,111,1,Pashaco,120,12,18,1,8.822,675795,9632157,Aprovechable,,,Pash,,Pash_1/111
112,1,112,1,Mashonaste,50,16,21,1,2.042,675787,9632178,Aprovechable,,,Mash,,Mash_1/112
113,1,113,1,Panguana,110,17,22,1,10.501,675759,9632195,Aprovechable,,,Pang,,Pang_1/113
114,1,114,1,Andiroba,56,12,19,1,1.921,675751,9632200,Aprovechable,,,Andi,,Andi_1/114
115,1,115,1,Palisangre,85,15,20,1,5.533,675716,9632218,Aprovechable,,,Pali,,Pali_1/115
116,1,116,1,Mari mari,95,17,22,1,7.832,675713,9632232,Aprovechable,,,Mari,ma,Mari ma_1/116
117,1,117,2,Mari mari,54,14,19,2,2.084,675681,9632219,Aprovechable,,,Mari,ma,Mari ma_1/117
118,1,118,2,Andiroba,60,16,21,1,2.941,675698,9632152,Aprovechable,,,Andi,,Andi_1/118
119,1,119,2,Machimango,70,15,20,2,3.752,675684,9632116,Aprovechable,,,Mach,,Mach_1/119
120,1,120,2,Cumala llorona,54,17,22,1,2.531,675672,9632110,Aprovechable,,,Cuma,ll,Cuma ll_1/120
121,1,121,2,Mashonaste,45,10,17,1,0,675676,9632099,Semillero,,S,Mash,,S_Mash_1/121
122,1,122,2,Mari mari,50,14,20,1,0,675709,9632023,Semillero,,S,Mari,ma,S_Mari ma_1/122
123,1,123,2,Mari mari,58,17,21,1,2.92,675711,9632001,Aprovechable,,,Mari,ma,Mari ma_1/123
124,1,124,2,Panguana,136,13,20,1,12.275,675657,9631971,Aprovechable,,,Pang,,Pang_1/124
125,1,125,2,Zapotillo,56,18,23,1,2.882,675661,9631938,Aprovechable,,,Zapo,,Zapo_1/125
126,1,126,2,Andiroba,55,16,21,1,2.471,675661,9631933,Aprovechable,,,Andi,,Andi_1/126
127,1,127,2,Aguanillo,60,18,23,1,3.308,675662,9631939,Aprovechable,,,Agua,,Agua_1/127
128,1,128,2,Cumala blanca,75,18,24,1,5.169,675688,9631914,Aprovechable,,,Cuma,bl,Cuma bl_1/128
129,1,129,2,Mari mari,80,18,25,1,5.881,675708,9631900,Aprovechable,,,Mari,ma,Mari ma_1/129
130,1,130,2,Machimango,55,16,21,2,2.471,675708,9631897,Aprovechable,,,Mach,,Mach_1/130
131,1,131,2,Pashaco,70,12,19,1,3.002,675708,9631885,Aprovechable,,,Pash,,Pash_1/131
132,1,132,2,Pashaco,55,12,18,2,1.853,675702,9631881,Aprovechable,,,Pash,,Pash_1/132
133,1,133,2,Pashaco,75,14,21,2,4.02,675683,9631830,Aprovechable,,,Pash,,Pash_1/133
134,1,134,2,Azucar huayo,57,14,20,1,2.322,675693,9631780,Aprovechable,,,Azuc,hu,Azuc hu_1/134
135,1,135,2,Cumala blanca,60,16,21,2,2.941,675677,9631692,Aprovechable,,,Cuma,bl,Cuma bl_1/135
136,1,136,2,Cumala blanca,50,17,22,1,2.17,675680,9631687,Aprovechable,,,Cuma,bl,Cuma bl_1/136
137,1,137,2,Almendro,67,11,20,1,2.521,675665,9631595,Aprovechable,,,Alme,,Alme_1/137
138,1,138,2,Cumala llorona,46,15,20,1,0,675691,9631595,Semillero,,S,Cuma,ll,S_Cuma ll_1/138
139,1,139,2,Machimango,57,17,21,1,2.82,675701,9631589,Aprovechable,,,Mach,,Mach_1/139
140,1,140,2,Pashaco,55,11,19,1,0,675678,9631473,Semillero,,S,Pash,,S_Pash_1/140
141,1,141,2,Cumala blanca,50,15,20,1,1.914,675693,9631457,Aprovechable,,,Cuma,bl,Cuma bl_1/141
142,1,142,2,Cumala blanca,56,16,21,1,0,675684,9631420,Semillero,,S,Cuma,bl,S_Cuma bl_1/142
143,1,143,2,Cumala blanca,77,17,21,1,5.146,675695,9631405,Aprovechable,,,Cuma,bl,Cuma bl_1/143
144,1,144,2,Panguana,52,12,16,1,0,675715,9631270,Semillero,,S,Pang,,S_Pang_1/144
145,1,145,2,Panguana,73,18,22,1,4.897,675720,9631180,Aprovechable,,,Pang,,Pang_1/145
146,1,146,2,Cumala llorona,62,12,18,1,2.355,675723,9631150,Aprovechable,,,Cuma,ll,Cuma ll_1/146
147,1,147,2,Panguana,107,10,20,1,5.845,675706,9631136,Aprovechable,,,Pang,,Pang_1/147
148,1,148,2,Anuje rumo,63,13,18,1,0,675697,9631133,Semillero,,S,Anuj,ru,S_Anuj ru_1/148
149,1,149,2,Yacushapana,70,16,21,2,4.002,675696,9631126,Aprovechable,,,Yacu,,Yacu_1/149
150,1,150,2,Machimango,60,16,22,1,2.941,675686,9631117,Aprovechable,,,Mach,,Mach_1/150
151,1,151,2,Aguanillo,48,17,21,1,0,675665,9631124,Semillero,,S,Agua,,S_Agua_1/151
152,1,152,2,Machimango,61,14,20,1,2.659,675674,9631109,Aprovechable,,,Mach,,Mach_1/152
153,1,153,2,Pashaco,70,17,22,1,0,675679,9631096,Semillero,,S,Pash,,S_Pash_1/153
154,1,154,2,Cumala blanca,54,17,21,1,0,675705,9631032,Semillero,,S,Cuma,bl,S_Cuma bl_1/154
155,1,155,2,Machimango,46,16,20,1,0,675701,9631020,Semillero,,S,Mach,,S_Mach_1/155
156,1,156,2,Cumala blanca,48,15,22,1,0,675705,9631023,Semillero,,S,Cuma,bl,S_Cuma bl_1/156
157,1,157,2,Cumala blanca,69,18,25,1,4.375,675725,9630996,Aprovechable,,,Cuma,bl,Cuma bl_1/157
158,1,158,2,Mari mari,95,18,25,1,8.293,675701,9630975,Aprovechable,,,Mari,ma,Mari ma_1/158
160,1,160,2,Aguanillo,53,13,18,1,1.864,675679,9630915,Aprovechable,,,Agua,,Agua_1/160
161,1,161,2,Andiroba,86,14,19,1,5.286,675704,9630843,Aprovechable,,,Andi,,Andi_1/161
162,1,162,2,Aguanillo,52,15,20,1,0,675721,9630827,Semillero,,S,Agua,,S_Agua_1/162
163,1,163,2,Cumala blanca,90,18,23,1,7.443,675700,9630776,Aprovechable,,,Cuma,bl,Cuma bl_1/163
164,1,164,2,Marupa,56,12,19,1,1.921,675695,9630770,Aprovechable,,,Maru,,Maru_1/164
165,1,165,2,Machimango,64,10,17,2,2.091,675682,9630778,Aprovechable,,,Mach,,Mach_1/165
166,1,166,2,Almendro,110,11,20,2,6.795,675672,9630778,Aprovechable,,,Alme,,Alme_1/166
167,1,167,2,Palisangre,68,18,22,1,4.249,675657,9630761,Aprovechable,,,Pali,,Pali_1/167
168,1,168,2,Machimango,74,18,23,1,5.032,675647,9630768,Aprovechable,,,Mach,,Mach_1/168
169,1,169,2,Andiroba,67,9,16,1,2.063,675659,9630715,Aprovechable,,,Andi,,Andi_1/169
170,1,201,3,Almendro,101,13,16,1,6.77,675614,9630672,Aprovechable,,,Alme,,Alme_1/201
171,1,202,3,Panguana,47,12,18,1,0,675580,9630693,Semillero,,S,Pang,,S_Pang_1/202
172,1,203,3,Cumala llorona,62,16,19,2,3.14,675564,9630689,Aprovechable,,,Cuma,ll,Cuma ll_1/203
173,1,204,3,Anuje rumo,73,17,20,1,4.625,675561,9630687,Aprovechable,,,Anuj,ru,Anuj ru_1/204
174,1,205,3,Panguana,75,15,20,1,4.307,675609,9630734,Aprovechable,,,Pang,,Pang_1/205
175,1,206,3,Panguana,65,14,19,1,3.02,675622,9630769,Aprovechable,,,Pang,,Pang_1/206
176,1,208,3,Cumala blanca,56,18,21,1,2.882,675625,9630794,Aprovechable,,,Cuma,bl,Cuma bl_1/208
177,1,209,3,Andiroba,91,18,21,1,7.61,675606,9630797,Aprovechable,,,Andi,,Andi_1/209
178,1,210,3,Almendro,76,16,20,2,4.718,675590,9630818,Aprovechable,,,Alme,,Alme_1/210
179,1,211,3,Aguanillo,51,17,21,1,2.257,675584,9630867,Aprovechable,,,Agua,,Agua_1/211
180,1,212,3,Cumala caupuri,56,17,20,1,2.722,675592,9630880,Aprovechable,,,Cuma,ca,Cuma ca_1/212
181,1,213,3,Aguanillo,48,17,20,1,2,675593,9630877,Aprovechable,,,Agua,,Agua_1/213
182,1,214,3,Aguanillo,58,18,21,1,3.091,675597,9630893,Aprovechable,,,Agua,,Agua_1/214
183,1,215,3,Almendro,50,16,20,1,0,675622,9630892,Semillero,,S,Alme,,S_Alme_1/215
184,1,216,3,Cumala caupuri,61,15,19,2,2.849,675642,9630859,Aprovechable,,,Cuma,ca,Cuma ca_1/216
185,1,217,3,Marupa,59,14,19,1,2.488,675642,9630991,Aprovechable,,,Maru,,Maru_1/217
186,1,218,3,Cumala blanca,48,15,19,1,1.764,675645,9630984,Aprovechable,,,Cuma,bl,Cuma bl_1/218
187,1,219,3,Machimango,77,13,18,1,3.935,675654,9631031,Aprovechable,,,Mach,,Mach_1/219
188,1,220,3,Cumala blanca,72,16,20,1,4.234,675597,9631126,Aprovechable,,,Cuma,bl,Cuma bl_1/220
189,1,221,3,Anuje rumo,57,13,18,1,2.156,675614,9631147,Aprovechable,,,Anuj,ru,Anuj ru_1/221
190,1,222,3,Cumala llorona,54,16,20,1,2.382,675640,9631219,Aprovechable,,,Cuma,ll,Cuma ll_1/222
191,1,223,3,Panguana,51,16,21,1,0,675631,9631234,Semillero,,S,Pang,,S_Pang_1/223
192,1,224,3,Cumala blanca,50,17,21,1,2.17,675617,9631235,Aprovechable,,,Cuma,bl,Cuma bl_1/224
193,1,225,3,Cumala blanca,50,16,18,1,0,675597,9631234,Semillero,,S,Cuma,bl,S_Cuma bl_1/225
194,1,226,3,Cumala blanca,61,16,19,1,3.039,675619,9631250,Aprovechable,,,Cuma,bl,Cuma bl_1/226
195,1,227,3,Cumala blanca,60,17,21,1,3.124,675615,9631264,Aprovechable,,,Cuma,bl,Cuma bl_1/227
196,1,228,3,Cumala llorona,47,17,20,1,0,675628,9631330,Semillero,,S,Cuma,ll,S_Cuma ll_1/228
197,1,229,3,Mari mari,75,10,17,2,2.872,675634,9631341,Aprovechable,,,Mari,ma,Mari ma_1/229
198,1,230,3,Cumala blanca,55,17,21,1,2.625,675646,9631425,Aprovechable,,,Cuma,bl,Cuma bl_1/230
199,1,231,3,Azucar huayo,66,14,20,1,3.113,675606,9631440,Aprovechable,,,Azuc,hu,Azuc hu_1/231
200,1,232,3,Machimango,72,10,17,1,2.646,675633,9631465,Aprovechable,,,Mach,,Mach_1/232
201,1,233,3,Canela moena,65,16,20,1,3.451,675624,9631478,Aprovechable,,,Cane,mo,Cane mo_1/233
202,1,234,3,Andiroba,49,10,16,2,1.226,675630,9631477,Aprovechable,,,Andi,,Andi_1/234
203,1,235,3,Andiroba,55,16,19,1,2.471,675643,9631478,Aprovechable,,,Andi,,Andi_1/235
204,1,236,3,Caimitillo,86,16,19,1,6.041,675644,9631477,Aprovechable,,,Caim,,Caim_1/236
205,1,237,3,Aguanillo,49,17,20,1,2.084,675658,9631479,Aprovechable,,,Agua,,Agua_1/237
206,1,238,3,Cumala caupuri,50,17,20,2,2.17,675660,9631474,Aprovechable,,,Cuma,ca,Cuma ca_1/238
207,1,239,3,Cumala blanca,58,17,20,1,2.92,675629,9631512,Aprovechable,,,Cuma,bl,Cuma bl_1/239
208,1,240,3,Cumala blanca,55,18,21,1,2.78,675600,9631528,Aprovechable,,,Cuma,bl,Cuma bl_1/240
209,1,241,3,Andiroba,51,17,21,1,2.257,675621,9631533,Aprovechable,,,Andi,,Andi_1/241
210,1,242,3,Anuje rumo,56,16,20,1,2.562,675627,9631583,Aprovechable,,,Anuj,ru,Anuj ru_1/242
211,1,243,3,Cumala caupuri,68,15,19,1,3.541,675634,9631619,Aprovechable,,,Cuma,ca,Cuma ca_1/243
212,1,244,3,Aguanillo,56,17,20,1,2.722,675627,9631617,Aprovechable,,,Agua,,Agua_1/244
213,1,245,3,Almendro,68,17,21,1,4.013,675616,9631689,Aprovechable,,,Alme,,Alme_1/245
214,1,246,3,Cumala caupuri,49,15,18,1,0,675644,9631694,Semillero,,S,Cuma,ca,S_Cuma ca_1/246
215,1,247,3,Yacushapana,105,16,20,1,9.005,675647,9631689,Aprovechable,,,Yacu,,Yacu_1/247
216,1,248,3,Cumala caupuri,49,15,18,1,1.839,675653,9631693,Aprovechable,,,Cuma,ca,Cuma ca_1/248
217,1,249,3,Machimango negro,76,17,21,1,5.013,675640,9631827,Aprovechable,,,Mach,ne,Mach ne_1/249
218,1,250,3,Anuje rumo,48,16,20,1,0,675651,9631849,Semillero,,S,Anuj,ru,S_Anuj ru_1/250
219,1,251,3,Azucar huayo,55,17,21,1,2.625,675651,9631893,Aprovechable,,,Azuc,hu,Azuc hu_1/251
220,1,252,3,Cumala blanca,66,20,23,1,4.448,675654,9631899,Aprovechable,,,Cuma,bl,Cuma bl_1/252
221,1,253,3,Cumala blanca,50,16,22,2,2.042,675654,9631902,Aprovechable,,,Cuma,bl,Cuma bl_1/253
222,1,254,3,Marupa,50,12,18,2,1.532,675611,9631934,Aprovechable,,,Maru,,Maru_1/254
223,1,255,3,Machimango,100,16,20,1,8.168,675604,9631948,Aprovechable,,,Mach,,Mach_1/255
224,1,256,3,Aguanillo,52,18,21,1,2.485,675568,9631943,Aprovechable,,,Agua,,Agua_1/256
225,1,257,3,Andiroba,62,18,22,1,3.532,675574,9631937,Aprovechable,,,Andi,,Andi_1/257
226,1,258,3,Cumala blanca,75,19,22,1,5.456,675557,9631929,Aprovechable,,,Cuma,bl,Cuma bl_1/258
227,1,259,3,Machimango negro,85,18,21,1,6.639,675561,9631942,Aprovechable,,,Mach,ne,Mach ne_1/259
228,1,260,3,Aguanillo,52,17,21,1,2.347,675560,9631962,Aprovechable,,,Agua,,Agua_1/260
229,1,261,3,Mari mari,72,10,19,1,2.646,675614,9632007,Aprovechable,,,Mari,ma,Mari ma_1/261
230,1,262,3,Pashaco,75,17,22,1,4.882,675627,9631987,Aprovechable,,,Pash,,Pash_1/262
231,1,263,3,Mari mari,62,17,21,1,3.336,675637,9632052,Aprovechable,,,Mari,ma,Mari ma_1/263
232,1,264,3,Pashaco,66,10,18,1,2.224,675645,9632052,Aprovechable,,,Pash,,Pash_1/264
233,1,265,3,Cumala blanca,59,17,21,1,3.021,675634,9632119,Aprovechable,,,Cuma,bl,Cuma bl_1/265
234,1,266,3,Cumala caupuri,53,18,22,1,2.581,675637,9632123,Aprovechable,,,Cuma,ca,Cuma ca_1/266
235,1,267,3,Anuje rumo,69,15,20,1,3.646,675590,9632176,Aprovechable,,,Anuj,ru,Anuj ru_1/267
236,1,268,3,Cumala blanca,53,18,21,1,2.581,675616,9632234,Aprovechable,,,Cuma,bl,Cuma bl_1/268
237,1,269,3,Cumala blanca,50,17,21,1,2.17,675609,9632230,Aprovechable,,,Cuma,bl,Cuma bl_1/269
