,Dap,Dap,Dap,Dap,Dap,Dap,Dap,Dap,HC,HC,HC,HC,HC,HC,HC,HC,HT,HT,HT,HT,HT,HT,HT,HT,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Copal,32.0,75.125,21.59263614021852,48.0,58.75,70.0,90.0,130.0,32.0,15.5625,2.6510801207152555,10.0,13.75,16.0,17.25,22.0,32.0,20.25,2.257603639602928,16.0,19.0,20.0,21.0,27.0,32.0,4.835531250000001,3.1825730509759533,1.764,2.708,3.3715,6.1682500000000005,13.804,32.0,675321.84375,1315.057072461361,673583.0,674297.0,675037.0,675798.25,677961.0,32.0,9632066.90625,1431.7841871837231,9630639.0,9631192.5,9631568.0,9632076.0,9635639.0
Cumala blanca,524.0,57.05343511450382,9.332246754003956,46.0,50.0,55.0,60.0,110.0,524.0,16.637404580152673,2.621833196849363,7.0,16.0,17.0,18.0,23.0,524.0,20.734732824427482,2.3352514543121385,12.0,20.0,21.0,22.0,28.0,524.0,2.8864064885496186,1.300442066636091,0.858,2.0060000000000002,2.581,3.31025,11.119,524.0,675424.001908397,1296.6727217088685,673568.0,674222.5,675370.5,676521.25,678080.0,524.0,9631970.526717557,1439.3121661797713,9630613.0,9630969.75,9631513.5,9632159.0,9636714.0
Cumala caupuri,105.0,59.56190476190476,9.437979544132201,47.0,52.0,58.0,65.0,95.0,105.0,17.438095238095237,2.377473649145444,8.0,16.0,18.0,19.0,22.0,105.0,21.333333333333332,2.217355782608345,14.0,20.0,21.0,23.0,27.0,105.0,3.2891523809523813,1.3351486360712541,1.104,2.347,2.92,3.925,8.754,105.0,674878.0190476191,1139.9515254619077,673585.0,673770.0,674661.0,675592.0,677858.0,105.0,9631968.266666668,1538.80803812728,9630613.0,9631037.0,9631525.0,9631953.0,9636286.0
Cumala llorona,317.0,60.53627760252366,9.831625670004836,46.0,53.0,59.0,67.0,100.0,317.0,16.05993690851735,2.899072963317719,6.0,15.0,17.0,18.0,23.0,317.0,20.173501577287066,2.527981015872435,10.0,19.0,20.0,22.0,27.0,317.0,3.1334100946372243,1.3263878409831351,0.648,2.125,2.941,3.882,8.455,317.0,675228.2649842271,1377.8466249790715,673587.0,674106.0,674845.0,676206.0,678073.0,317.0,9632365.760252366,1550.7756366575304,9630614.0,9631265.0,9631890.0,9632979.0,9636711.0
Huayruro,12.0,71.83333333333333,8.53690739546751,62.0,65.0,70.0,78.5,86.0,12.0,16.0,2.696799449852968,11.0,15.25,16.5,18.0,20.0,12.0,20.75,1.815338686155987,18.0,19.75,21.0,21.25,24.0,12.0,4.298583333333333,1.4058599088576833,2.373,3.63325,3.883,4.7,6.796,12.0,674711.4166666666,1203.6941213941304,673627.0,673941.5,674424.0,674884.75,677958.0,12.0,9631654.75,1304.613082662651,9630730.0,9630978.0,9631259.0,9631760.5,9635574.0
Huimba,2.0,74.0,11.313708498984761,66.0,70.0,74.0,78.0,82.0,2.0,19.0,1.4142135623730951,18.0,18.5,19.0,19.5,20.0,2.0,23.5,0.7071067811865476,23.0,23.25,23.5,23.75,24.0,2.0,5.3135,1.2240018382339137,4.448,4.880750000000001,5.3135,5.74625,6.179,2.0,674050.5,48.79036790187178,674016.0,674033.25,674050.5,674067.75,674085.0,2.0,9631308.5,91.21677477306463,9631244.0,9631276.25,9631308.5,9631340.75,9631373.0
Lupuna,11.0,89.81818181818181,18.18690837838131,66.0,74.0,90.0,106.0,115.0,11.0,19.727272727272727,2.327698824629556,16.0,18.5,20.0,20.0,25.0,11.0,24.272727272727273,2.5334130768948473,20.0,23.0,24.0,24.5,30.0,11.0,8.386818181818182,3.3205994584767917,4.249,5.9125,8.27,10.253,14.853,11.0,675256.6363636364,1237.1553073666437,673685.0,674251.5,674720.0,676483.0,676720.0,11.0,9631842.0,1483.9853772864476,9630936.0,9631127.5,9631173.0,9632007.0,9636102.0
Machimango,110.0,63.554545454545455,10.812485446677474,42.0,56.0,63.0,70.0,100.0,110.0,16.29090909090909,2.6103022938070244,8.0,15.25,17.0,18.0,24.0,110.0,20.754545454545454,2.0817528060798547,14.0,20.0,21.0,22.0,27.0,110.0,3.4543090909090908,1.361004147277819,1.226,2.4745,3.308,4.00275,9.189,110.0,675792.1090909091,1021.6401487287873,673721.0,675109.75,675685.0,676620.0,678011.0,110.0,9631359.00909091,485.67793336991207,9630615.0,9630999.0,9631243.5,9631765.0,9632240.0
Machimango blanco,35.0,60.05714285714286,8.643062015767523,48.0,55.5,59.0,61.0,90.0,35.0,16.571428571428573,2.186667008266695,10.0,15.0,17.0,18.0,20.0,35.0,19.97142857142857,1.9017903992525242,14.0,19.0,20.0,21.0,23.0,35.0,3.149885714285714,1.1977202062405787,1.38,2.4335,2.843,3.3265000000000002,7.03,35.0,673922.0358142857,239.4341052276148,673560.2535,673721.5,673895.0,674049.5,674354.0,35.0,9635113.028628571,1235.1116057134814,9632614.0,9634443.0,9635424.0,9636224.5,9636620.0
Machimango negro,19.0,63.05263157894737,13.509147864443257,44.0,52.0,60.0,74.5,85.0,19.0,14.421052631578947,3.042582774801775,8.0,12.5,16.0,16.5,18.0,19.0,19.210526315789473,2.439921386903481,14.0,18.5,20.0,21.0,22.0,19.0,3.156947368421053,1.6676696473317427,0.791,1.891,2.562,4.489,6.639,19.0,674889.1578947369,910.6480758935664,673590.0,674112.5,675000.0,675388.0,677271.0,19.0,9631438.94736842,957.1613398008492,9630616.0,9630759.0,9630967.0,9631825.5,9633816.0
